front_bolt,rear_bolt,camber_neg20,camber_0,camber_pos20
-6,-6,-4.92,-2.52,-0.13
-6,-5,-4.89,-2.50,-0.10
-6,-4,-4.87,-2.47,-0.08
-6,-3,-4.84,-2.45,-0.05
-6,-2,-4.82,-2.42,-0.03
-6,-1,-4.79,-2.40,0.00
-6,0,-4.77,-2.37,0.02
-6,1,-4.74,-2.35,0.05
-6,2,-4.72,-2.32,0.07
-6,3,-4.69,-2.30,0.10
-6,4,-4.67,-2.27,0.12
-6,5,-4.64,-2.25,0.15
-6,6,-4.62,-2.22,0.17
-5,-6,-4.60,-2.34,-0.07
-5,-5,-4.58,-2.31,-0.05
-5,-4,-4.55,-2.29,-0.02
-5,-3,-4.53,-2.26,0.00
-5,-2,-4.50,-2.24,0.03
-5,-1,-4.48,-2.21,0.05
-5,0,-4.45,-2.19,0.08
-5,1,-4.43,-2.16,0.10
-5,2,-4.40,-2.14,0.13
-5,3,-4.38,-2.11,0.15
-5,4,-4.35,-2.09,0.18
-5,5,-4.33,-2.06,0.20
-5,6,-4.30,-2.04,0.23
-4,-6,-4.29,-2.14,0.00
-4,-5,-4.27,-2.12,0.03
-4,-4,-4.24,-2.09,0.05
-4,-3,-4.22,-2.07,0.08
-4,-2,-4.19,-2.04,0.10
-4,-1,-4.17,-2.02,0.13
-4,0,-4.14,-1.99,0.15
-4,1,-4.12,-1.97,0.18
-4,2,-4.09,-1.94,0.20
-4,3,-4.07,-1.92,0.23
-4,4,-4.04,-1.89,0.25
-4,5,-4.02,-1.87,0.28
-4,6,-3.99,-1.84,0.30
-3,-6,-3.98,-1.94,0.10
-3,-5,-3.95,-1.91,0.12
-3,-4,-3.93,-1.89,0.15
-3,-3,-3.90,-1.86,0.17
-3,-2,-3.88,-1.84,0.20
-3,-1,-3.85,-1.81,0.22
-3,0,-3.83,-1.79,0.25
-3,1,-3.80,-1.76,0.27
-3,2,-3.78,-1.74,0.30
-3,3,-3.75,-1.71,0.32
-3,4,-3.73,-1.69,0.35
-3,5,-3.70,-1.66,0.37
-3,6,-3.68,-1.64,0.40
-2,-6,-3.66,-1.72,0.22
-2,-5,-3.64,-1.70,0.24
-2,-4,-3.61,-1.67,0.27
-2,-3,-3.59,-1.65,0.29
-2,-2,-3.56,-1.62,0.32
-2,-1,-3.54,-1.60,0.34
-2,0,-3.51,-1.57,0.37
-2,1,-3.49,-1.55,0.39
-2,2,-3.46,-1.52,0.42
-2,3,-3.44,-1.50,0.44
-2,4,-3.41,-1.47,0.47
-2,5,-3.39,-1.45,0.49
-2,6,-3.36,-1.42,0.52
-1,-6,-3.35,-1.49,0.36
-1,-5,-3.32,-1.47,0.39
-1,-4,-3.30,-1.44,0.41
-1,-3,-3.27,-1.42,0.44
-1,-2,-3.25,-1.39,0.46
-1,-1,-3.22,-1.37,0.49
-1,0,-3.20,-1.34,0.51
-1,1,-3.17,-1.32,0.54
-1,2,-3.15,-1.29,0.56
-1,3,-3.12,-1.27,0.59
-1,4,-3.10,-1.24,0.61
-1,5,-3.07,-1.22,0.64
-1,6,-3.05,-1.19,0.66
0,-6,-3.02,-1.25,0.53
0,-5,-3.00,-1.22,0.55
0,-4,-2.97,-1.20,0.58
0,-3,-2.95,-1.17,0.60
0,-2,-2.92,-1.15,0.63
0,-1,-2.90,-1.12,0.65
0,0,-2.87,-1.10,0.68
0,1,-2.85,-1.07,0.70
0,2,-2.82,-1.05,0.73
0,3,-2.80,-1.02,0.75
0,4,-2.77,-1.00,0.78
0,5,-2.75,-0.97,0.80
0,6,-2.72,-0.95,0.83
1,-6,-2.69,-0.99,0.71
1,-5,-2.67,-0.97,0.74
1,-4,-2.64,-0.94,0.76
1,-3,-2.62,-0.92,0.79
1,-2,-2.59,-0.89,0.81
1,-1,-2.57,-0.87,0.84
1,0,-2.54,-0.84,0.86
1,1,-2.52,-0.82,0.89
1,2,-2.49,-0.79,0.91
1,3,-2.47,-0.77,0.94
1,4,-2.44,-0.74,0.96
1,5,-2.42,-0.72,0.99
1,6,-2.39,-0.69,1.01
2,-6,-2.36,-0.72,0.92
2,-5,-2.33,-0.69,0.95
2,-4,-2.31,-0.67,0.97
2,-3,-2.28,-0.64,1.00
2,-2,-2.26,-0.62,1.02
2,-1,-2.23,-0.59,1.05
2,0,-2.21,-0.57,1.07
2,1,-2.18,-0.54,1.10
2,2,-2.16,-0.52,1.12
2,3,-2.13,-0.49,1.15
2,4,-2.11,-0.47,1.17
2,5,-2.08,-0.44,1.20
2,6,-2.06,-0.42,1.22
3,-6,-2.01,-0.43,1.15
3,-5,-1.98,-0.40,1.18
3,-4,-1.96,-0.38,1.20
3,-3,-1.93,-0.35,1.23
3,-2,-1.91,-0.33,1.25
3,-1,-1.88,-0.30,1.28
3,0,-1.86,-0.28,1.30
3,1,-1.83,-0.25,1.33
3,2,-1.81,-0.23,1.35
3,3,-1.78,-0.20,1.38
3,4,-1.76,-0.18,1.40
3,5,-1.73,-0.15,1.43
3,6,-1.71,-0.13,1.45
4,-6,-1.65,-0.12,1.41
4,-5,-1.62,-0.10,1.43
4,-4,-1.60,-0.07,1.46
4,-3,-1.57,-0.05,1.48
4,-2,-1.55,-0.02,1.51
4,-1,-1.52,0.00,1.53
4,0,-1.50,0.03,1.56
4,1,-1.47,0.05,1.58
4,2,-1.45,0.08,1.61
4,3,-1.42,0.10,1.63
4,4,-1.40,0.13,1.66
4,5,-1.37,0.15,1.68
4,6,-1.35,0.18,1.71
5,-6,-1.27,0.21,1.68
5,-5,-1.25,0.23,1.71
5,-4,-1.22,0.26,1.73
5,-3,-1.20,0.28,1.76
5,-2,-1.17,0.31,1.78
5,-1,-1.15,0.33,1.81
5,0,-1.12,0.36,1.83
5,1,-1.10,0.38,1.86
5,2,-1.07,0.41,1.88
5,3,-1.05,0.43,1.91
5,4,-1.02,0.46,1.93
5,5,-1.00,0.48,1.96
5,6,-0.97,0.51,1.98
6,-6,-0.89,0.55,1.99
6,-5,-0.86,0.58,2.01
6,-4,-0.84,0.60,2.04
6,-3,-0.81,0.63,2.06
6,-2,-0.79,0.65,2.09
6,-1,-0.76,0.68,2.11
6,0,-0.74,0.70,2.14
