camber_bolt_pos,caster_bolt_pos,camber_lock_left_deg,camber_center_deg,camber_lock_right_deg,toe_mm
-6,-6,6.1,2.28,1.04,
-6,-5,6.52,2.4,0.78,
-6,-4,6.94,2.52,0.52,
-6,-3,7.36,2.64,0.26,
-6,-2,7.78,2.76,0,
-6,-1,8.2,2.88,-0.26,
-6,0,8.62,3,-0.52,
-6,1,9.04,3.12,-0.78,
-6,2,9.46,3.24,-1.04,
-6,3,9.88,3.36,-1.14,
-6,4,10.3,3.48,-1.02,
-6,5,10.72,3.6,-0.9,
-6,6,11.14,3.72,-0.78,
-5,-6,5.38,1.78,0.81,
-5,-5,5.8,1.9,0.55,
-5,-4,6.22,2.02,0.29,
-5,-3,6.64,2.14,0.03,
-5,-2,7.06,2.26,-0.23,
-5,-1,7.48,2.38,-0.49,
-5,0,7.9,2.5,-0.75,
-5,1,8.32,2.62,-1.01,
-5,2,8.74,2.74,-1.27,
-5,3,9.16,2.86,-1.53,
-5,4,9.58,2.98,-1.52,
-5,5,10,3.1,-1.4,
-5,6,10.42,3.22,-1.28,
-4,-6,4.66,1.28,0.58,
-4,-5,5.08,1.4,0.32,
-4,-4,5.5,1.52,0.06,
-4,-3,5.92,1.64,-0.2,
-4,-2,6.34,1.76,-0.46,
-4,-1,6.76,1.88,-0.72,
-4,0,7.18,2,-0.98,
-4,1,7.6,2.12,-1.24,
-4,2,8.02,2.24,-1.5,
-4,3,8.44,2.36,-1.76,
-4,4,8.86,2.48,-2.02,
-4,5,9.28,2.6,-1.9,
-4,6,9.7,2.72,-1.78,
-3,-6,3.94,0.78,0.35,
-3,-5,4.36,0.9,0.09,
-3,-4,4.78,1.02,-0.17,
-3,-3,5.2,1.14,-0.43,
-3,-2,5.62,1.26,-0.69,
-3,-1,6.04,1.38,-0.95,
-3,0,6.46,1.5,-1.21,
-3,1,6.88,1.62,-1.47,
-3,2,7.3,1.74,-1.73,
-3,3,7.72,1.86,-1.99,
-3,4,8.14,1.98,-2.25,
-3,5,8.56,2.1,-2.4,
-3,6,8.98,2.22,-2.28,
-2,-6,3.22,0.28,-0.02,
-2,-5,3.64,0.4,-0.14,
-2,-4,4.06,0.52,-0.4,
-2,-3,4.48,0.64,-0.66,
-2,-2,4.9,0.76,-0.92,
-2,-1,5.32,0.88,-1.18,
-2,0,5.74,1,-1.44,
-2,1,6.16,1.12,-1.7,
-2,2,6.58,1.24,-1.96,
-2,3,7,1.36,-2.22,
-2,4,7.42,1.48,-2.48,
-2,5,7.84,1.6,-2.74,
-2,6,8.26,1.72,-2.78,
-1,-6,2.5,-0.22,-0.52,
-1,-5,2.92,-0.1,-0.4,
-1,-4,3.34,0.02,-0.63,
-1,-3,3.76,0.14,-0.89,
-1,-2,4.18,0.26,-1.15,
-1,-1,4.6,0.38,-1.41,
-1,0,5.02,0.5,-1.67,
-1,1,5.44,0.62,-1.93,
-1,2,5.86,0.74,-2.19,
-1,3,6.28,0.86,-2.45,
-1,4,6.7,0.98,-2.71,
-1,5,7.12,1.1,-2.97,
-1,6,7.54,1.22,-3.23,
0,-6,1.78,-0.72,-1.02,
0,-5,2.2,-0.6,-0.9,
0,-4,2.62,-0.48,-0.86,
0,-3,3.04,-0.36,-1.12,
0,-2,3.46,-0.24,-1.38,
0,-1,3.88,-0.12,-1.64,
0,0,4.3,0,-1.9,
0,1,4.72,0.12,-2.16,
0,2,5.14,0.24,-2.42,
0,3,5.56,0.36,-2.68,
0,4,5.98,0.48,-2.94,
0,5,6.4,0.6,-3.2,
0,6,6.82,0.72,-3.46,
1,-6,1.06,-1.22,-1.52,
1,-5,1.48,-1.1,-1.4,
1,-4,1.9,-0.98,-1.28,
1,-3,2.32,-0.86,-1.35,
1,-2,2.74,-0.74,-1.61,
1,-1,3.16,-0.62,-1.87,
1,0,3.58,-0.5,-2.13,
1,1,4,-0.38,-2.39,
1,2,4.42,-0.26,-2.65,
1,3,4.84,-0.14,-2.91,
1,4,5.26,-0.02,-3.17,
1,5,5.68,0.1,-3.43,
1,6,6.1,0.22,-3.69,
2,-6,0.34,-1.72,-2.02,
2,-5,0.76,-1.6,-1.9,
2,-4,1.18,-1.48,-1.78,
2,-3,1.6,-1.36,-1.66,
2,-2,2.02,-1.24,-1.84,
2,-1,2.44,-1.12,-2.1,
2,0,2.86,-1,-2.36,
